SYSTEM Asteroid Field	;{0} Asteroid Field
We have accepted the following gift from EMPIRE		;We have accepted the following gift from [FACTION]{0}[/FACTION]
Trade Deal with EMPIRE		;Trade Deal with {0}
We have accepted the following trade deal with EMPIRE		;We have accepted the following trade deal with [FACTION]{0}[/FACTION]
They offered to us		;They offered to us
We gave to EMPIRE		;We gave to {0}
We will pay EMPIRE XX credits per month to avoid any unfortunate accidents with them		;We will pay {0} {1} credits per month to avoid any unfortunate 'accidents' with them
EMPIRE is asking us to pay XX credits per month to avoid any unfortunate accidents with them		;{0} is asking us to pay {1} credits per month to avoid any unfortunate 'accidents' with them

EMPIRE offers to end War		;{0} offers to end our War
We propose an immediate end to the war between us		;We propose an immediate end to the war between us
End War with EMPIRE		;End War with {0}
Propose an immediate end to the war with EMPIRE		;Propose an immediate end to the war with {0}
EMPIRE offers TREATY		;{0} offers {1}
EMPIRE makes the following offer		;[FACTION]{0}[/FACTION] makes the following offer
Offer TREATY to EMPIRE		;Offer {0} to {1}
Offer EMPIRE a gift		;Offer {0} a gift
Propose a gift to EMPIRE		;Propose a gift to {0}
Offer EMPIRE a trade deal		;Offer {0} a trade deal
Propose the following offer to EMPIRE		;Propose the following offer to {0}
In exchange for the following from us		;In exchange for the following from us
In exchange for the following		;In exchange for the following
Please accept this gift from us		;Please accept this gift from us
Gift		;Gift
Trade Offer		;Trade Offer
Peace Offer		;Peace Offer
Treaty Offer		;Treaty Offer

We have established a new colony at the TYPE CATEGORY NAME in the SYSTEM system		;We have established a new colony at the {0} {1} [LOCATION]{2}[/LOCATION] in the {3} system
New Colony Founded		;New Colony Founded
Independent Colony Resists Colonization		;Independent Colony Resists Colonization
The independent population of RACE have resisted our attempt to colonize the TYPE CATEGORY NAME in the SYSTEM system		;The independent population of {0}s have resisted our attempt to colonize the {1} {2} [LOCATION]{3}[/LOCATION] in the {4} system.\n\nOur colonization atempt has angered them, harming our relations with them.
Colonization Success Chance		;Colonization Success Chance
Colonized Independent World		;Colonized Independent World
We have successfully colonized the independent world NAME a TYPE CATEGORY in the SYSTEM system RACE		;We have successfully colonized the independent world [LOCATION]{0}[/LOCATION], a {1} {2} in the {3} system.\n\nThis world is populated by the {4}. They happily join our empire!

Empire Bonuses from all sources		;Empire Bonuses from all sources
This design cannot be changed because it is in use		;This design cannot be changed because it is in use
Unknown Item		;Unknown Item

Sound		;Sound
Music Volume		;Music Volume
Effects Volume		;General Effects Volume

EMPIRE Eliminated		;{0} Eliminated
EMPIRE Eliminated by OTHER		;{0} Eliminated by {1}
EMPIRE Eliminated Explanation		;The [FACTION]{0}[/FACTION] has been completely destroyed
EMPIRE Eliminated by OTHER Explanation		;The [FACTION]{1}[/FACTION] has completely destroyed the [FACTION]{0}[/FACTION]
EMPIRE Eliminated by US Explanation		;We have completely destroyed the [FACTION]{0}[/FACTION]

EMPIRE Integrated		;{0} Integrated
EMPIRE Integrated by OTHER		;{0} Integrated into {1}
EMPIRE Integrated Explanation		;The [FACTION]{0}[/FACTION] has been integrated into the [FACTION]{1}[/FACTION]
EMPIRE Integrated by OTHER Explanation		;The [FACTION]{1}[/FACTION] has integrated the [FACTION]{0}[/FACTION] into their empire
EMPIRE Integrated by US Explanation		;We have integrated the [FACTION]{0}[/FACTION] into our empire

Value		;Value
Colonies Captured		;Colonies Captured
Bases Captured		;Bases Captured
Ships Captured		;Ships Captured
Colonies Destroyed		;Colonies Destroyed
Bases Destroyed		;Bases Destroyed
Military Ships Destroyed		;Military Ships Destroyed
Other Ships Destroyed		;Other Ships Destroyed
Troops Destroyed		;Troops Destroyed
Money Captured		;Money Captured
No war progress		;No war progress

Selected Ships		;Selected Ships
No military ships of your empire selected		;No military ships of your empire selected
Basic		;Basic
Detailed		;Detailed
Mouse Click-Drag Function		;Mouse Click-Drag Function
Mouse Drag Selects Ships Description		;Selects Ships in Main View
Mouse Drag Moves View Description		;Moves Main View\n(Ctrl-click to select)
Rotate Camera Mouse Button		;Rotate Camera Mouse Button
Rotate Camera Mouse Button Middle		;Middle Button\n(or Shift-Right-Click)
Rotate Camera Mouse Button Right		;Right Button
Screen Edge Panning		;Screen Edge Panning
DiplomacyAutoMoveToFaction		;Auto-move view to selected Diplomatic Faction

Exploration Level		;Exploration Level
Unknown items present		;Unknown items present
Unknown items are present at this location		;Unknown items are present at this location. Survey or scan at higher levels to reveal them

Map Overlay Exploration Key Explanation		;Green = all locations in system explored to basic level\nYellow = some locations in system unexplored\nAll others = system completely unexplored
Map Overlay Diplomacy Relations Key Explanation		;Green = system owned by friendly faction\nYellow = system owned by neutral faction\nRed = system owned by enemy faction
Map Overlay Nebula Boundaries Key Explanation		;Orange = Galactic Storm\nPurple = Ion Storm\nGreen = Gravitic Storm\nYellow = Radiation Zone

Green = system owned by friendly faction\nYellow = system owned by neutral faction\nRed = system owned by enemy faction

We have encountered a new empire		;We have encountered a new empire, the [FACTION]{0}[/FACTION]
We have encountered a new empire SYSTEM		;We have encountered a new empire in the {0} system, the [FACTION]{1}[/FACTION]
We have encountered a new pirate faction		;We have encountered a new pirate faction, the [FACTION]{0}[/FACTION]
We have encountered a new pirate faction SYSTEM		;We have encountered a new pirate faction in the {0} system, the [FACTION]{1}[/FACTION]
We have encountered a new independent colony		;We have encountered a new independent colony of {0}s at [FACTION]{1}[/FACTION] in the {2} system
very friendly		;very friendly
friendly		;friendly
mildly friendly		;mildly friendly
neutral		;neutral
slightly hostile		;slightly hostile
hostile		;hostile
very hostile		;very hostile
The RACE are naturally FEELING towards us		;The {0} are naturally {1} towards us
This empire is predominantly composed of SAME RACE		;This empire is predominantly composed of {0}s, the same as our empire.
This pirate faction is predominantly composed of SAME RACE		;This pirate faction is predominantly composed of {0}s, the same as our empire.
They would likely be favourable towards a treaty with us		;They would likely be favourable towards a treaty with us at some time in the future
This empire is predominantly composed of RACE		;This empire is predominantly composed of {0}s.
This pirate faction is predominantly composed of RACE		;This pirate faction is predominantly composed of {0}s.
EMPIRE encountered		;{0} encountered
Independent Colony of RACE encountered		;Independent Colony of {0}s encountered
They could prove useful allies if handled properly		;Although they are pirates, they could prove useful allies if handled properly
They are unlikely to be useful allies		;They are unlikely to be useful allies
Research projects are available on our tech tree that can improve our understanding of the RACE		;Research projects are available on our tech tree that can increase our understanding of the {0}. We should research these projects to improve relations with the {0}.
Independent Colony Friendly		;This colony may eventually allow us to colonize them, or they may even join us if handled properly.
Independent Colony Hostile		;We can invade and take over the colony by landing troops. Or we could attempt to colonize them by sending a Colony Ship, although this is unlikely to succeed due to their negative view of us.
Independent Colony Neutral		;We can attempt to colonize them by sending a Colony Ship. Alternatively we can invade and take over the colony by landing troops.
The colony has unique features that provide bonuses		;The colony has unique features that provide bonuses
The RACE possess powerful artifacts		;The {0}s possess powerful artifacts

Initial communications with RACE have been catastrophically bad		;Initial communications with the {0}s have been catastrophically bad. A poor translation of our standard greeting in their language mistakenly invited the {0}s to become our slaves. Despite our subsequent reassurances, they have taken great offense.
Initial communications with RACE have been catastrophically bad - same species		;Initial communications with the {0}s have been catastrophically bad. A misunderstanding of their customs caused great offense.
Initial communications with RACE have gone very poorly		;Initial communications with the {0}s have gone very poorly. We accidentally insulted the {0}s, causing great offense.
Initial communications with RACE have gone poorly		;Initial communications with the {0}s have gone poorly. The {0}s are quite unimpressed with us.
Initial communications with RACE have been fairly neutral		;Initial communications with the {0}s have been fairly neutral. The {0}s are wary of us.
Initial communications with RACE have gone well		;Initial communications with the {0}s have been moderately successful. The {0}s are open to further discussions with us.
Initial communications with RACE have gone very well		;Initial communications with the {0}s have been quite successful. The {0}s have developed some trust with us.
Initial communications with RACE have gone extremely well		;Initial communications with the {0}s have been extremely successful. The {0}s regard us with some friendliness.

The EMPIRE have declared war on us		;As a result, the {0} have [BAD]DECLARED WAR[/BAD] on us!
The EMPIRE have initiated a Restricted Trade Agreement with us		;As a result, the {0} have initiated a [GOOD]RESTRICTED TRADE AGREEMENT[/GOOD] with us!

Unexplored		;Unexplored
Completely Explored		;Completely Explored
the ruins		;the ruins
From our position in orbit we can see that		;From our position in orbit we can see that
Our orbital inspection reveals that		;Our orbital inspection reveals that
Surveying from orbit indicates that		;Surveying from orbit indicates that
Our scanners show that		;Our scanners show that
Our sensors indicate that		;Our sensors indicate that
From our orbital inspection we detect that		;From our orbital inspection we detect that
appear completely deserted		;appear completely deserted
have been vacated for a considerable time		;have been vacated for a considerable time
have lain undisturbed for centuries		;have lain undisturbed for centuries
are in an advanced state of decay and disrepair		;are in an advanced state of decay and disrepair
date from an extremely distant past age		;date from an extremely distant past age

Colony Event Plague Title		;{0} Strikes!
Colony Event Plague Title Other		;{0} Strikes {1}
Colony Event Disaster Title		;{0}!
Colony Event Disaster Title Other		;{0} at {1}
Colony Event Plague Description		;A deadly outbreak of {0} has struck our colony [LOCATION]{1}[/LOCATION] in the {2} system!
Colony Event Plague Description Other		;The [FACTION]{0}[/FACTION] have suffered a deadly outbreak of {1} at their colony [LOCATION]{2}[/LOCATION] in the {3} system!
Colony Event Plague Spreads Description		;A deadly outbreak of {0} has spread from the planet [LOCATION]{1}[/LOCATION] to our colony [LOCATION]{2}[/LOCATION] in the {3} system!
Colony Event Plague Spreads Description Other		;A deadly outbreak of {0} has spread from the planet [LOCATION]{1}[/LOCATION] to [LOCATION]{2}[/LOCATION], a colony of the [FACTION]{3}[/FACTION] in the {4} system!
Colony Event Disaster Description		;There has been a devastating {0} at our colony [LOCATION]{1}[/LOCATION] in the {2} system!
Colony Event Disaster Description Other		;There has been a devastating {0} at [LOCATION]{1}[/LOCATION], a colony of the [FACTION]{2}[/FACTION] in the {3} system!
Colony Event Generic Description		;{0} has occurred at our colony [LOCATION]{1}[/LOCATION] in the {2} system.
Colony Event Generic Description Other		;{0} has occurred at [LOCATION]{1}[/LOCATION], a colony of the [FACTION]{2}[/FACTION] in the {3} system.
